timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp,harris_votes_statewide,trump_votes_statewide,other_votes_statewide,final_state,final_county,final_fips,final_trump_votes,final_harris_votes,final_other_votes
2024-11-05T15-30-22,PA,Huntingdon,42061,13732,4603,144,84.92,56.53,1910170,2021686,36988,PA,Huntingdon,42061,17061,5445,286
2024-11-05T15-30-22,PA,Indiana,42063,29111,12610,314,98.0,56.53,1910170,2021686,36988,PA,Indiana,42063,28089,12634,475
2024-11-05T15-30-22,PA,Jefferson,42065,18196,4696,186,98.0,56.53,1910170,2021686,36988,PA,Jefferson,42065,17960,4527,337
2024-11-05T15-30-22,PA,Juniata,42067,8308,1489,75,98.0,56.53,1910170,2021686,36988,PA,Juniata,42067,9649,2253,141
2024-11-05T15-30-22,PA,Lackawanna,42069,55123,58664,802,98.0,56.53,1910170,2021686,36988,PA,Lackawanna,42069,52334,61991,1085
2024-11-05T15-30-22,PA,Lancaster,42071,107481,90227,2017,70.11,56.53,1910170,2021686,36988,PA,Lancaster,42071,160209,115847,4183
2024-11-05T15-30-22,PA,Lawrence,42073,31164,15281,322,98.0,56.53,1910170,2021686,36988,PA,Lawrence,42073,29597,15978,501
2024-11-05T15-30-22,PA,Lebanon,42075,25403,16448,375,60.71,56.53,1910170,2021686,36988,PA,Lebanon,42075,46731,23932,989
2024-11-05T15-30-22,PA,Lehigh,42077,34630,40721,854,40.54,56.53,1910170,2021686,36988,PA,Lehigh,42077,84259,98288,2166
2024-11-05T15-30-22,PA,Luzerne,42079,56472,43174,760,65.86,56.53,1910170,2021686,36988,PA,Luzerne,42079,86929,64873,1519
2024-11-05T15-30-22,PA,Lycoming,42081,41677,17012,497,98.0,56.53,1910170,2021686,36988,PA,Lycoming,42081,41462,16971,821
2024-11-05T15-30-22,PA,McKean,42083,6813,2558,69,46.85,56.53,1910170,2021686,36988,PA,McKean,42083,14083,5098,285
2024-11-05T15-30-22,PA,Mercer,42085,14866,8149,183,37.77,56.53,1910170,2021686,36988,PA,Mercer,42085,36143,21067,744
2024-11-05T15-30-22,PA,Mifflin,42087,14255,2716,109,95.0,56.53,1910170,2021686,36988,PA,Mifflin,42087,16670,4603,229
2024-11-05T15-30-22,PA,Monroe,42089,26699,30617,605,71.22,56.53,1910170,2021686,36988,PA,Monroe,42089,38726,44060,1043
2024-11-05T15-30-22,PA,Montgomery,42091,60791,133310,1867,37.77,56.53,1910170,2021686,36988,PA,Montgomery,42091,185460,319511,5186
2024-11-05T15-30-22,PA,Montour,42093,4790,2351,80,90.0,56.53,1910170,2021686,36988,PA,Montour,42093,5844,3771,156
2024-11-05T15-30-22,PA,Northampton,42095,63216,58743,1211,75.76,56.53,1910170,2021686,36988,PA,Northampton,42095,83854,85087,2001
2024-11-05T15-30-22,PA,Northumberland,42097,29984,12716,870,97.81,56.53,1910170,2021686,36988,PA,Northumberland,42097,28952,12677,654
2024-11-05T15-30-22,PA,Perry,42099,2061,432,21,10.07,56.53,1910170,2021686,36988,PA,Perry,42099,18293,5950,409
2024-11-05T15-30-22,PA,Philadelphia,42101,83304,307111,4406,50.67,56.53,1910170,2021686,36988,PA,Philadelphia,42101,132740,603790,4847
2024-11-05T15-30-22,PA,Pike,42103,9113,2757,44,37.26,56.53,1910170,2021686,36988,PA,Pike,42103,19213,13019,322
2024-11-05T15-30-22,PA,Potter,42105,7303,1664,75,98.0,56.53,1910170,2021686,36988,PA,Potter,42105,7239,1726,99
2024-11-05T15-30-22,PA,Schuylkill,42107,25825,8479,297,46.99,56.53,1910170,2021686,36988,PA,Schuylkill,42107,48871,20727,1005
2024-11-05T15-30-22,PA,Snyder,42109,12149,4057,110,80.02,56.53,1910170,2021686,36988,PA,Snyder,42109,13983,4910,247
2024-11-05T15-30-22,PA,Somerset,42111,26216,5316,231,76.33,56.53,1910170,2021686,36988,PA,Somerset,42111,31466,8654,423
2024-11-05T15-30-22,PA,Sullivan,42113,2697,956,24,98.0,56.53,1910170,2021686,36988,PA,Sullivan,42113,2619,921,55
2024-11-05T15-30-22,PA,Susquehanna,42115,13832,5336,177,86.37,56.53,1910170,2021686,36988,PA,Susquehanna,42115,15207,6236,309
2024-11-05T15-30-22,PA,Tioga,42117,15215,4862,204,94.9,56.53,1910170,2021686,36988,PA,Tioga,42117,15742,4955,378
2024-11-05T15-30-22,PA,Union,42119,7573,4321,103,57.4,56.53,1910170,2021686,36988,PA,Union,42119,12356,7475,284
2024-11-05T15-30-22,PA,Venango,42121,15908,4719,172,77.24,56.53,1910170,2021686,36988,PA,Venango,42121,18569,7585,374
2024-11-05T15-30-22,PA,Warren,42123,5793,3551,76,46.01,56.53,1910170,2021686,36988,PA,Warren,42123,14237,6066,347
2024-11-05T15-30-22,PA,Washington,42125,52716,34843,563,76.38,56.53,1910170,2021686,36988,PA,Washington,42125,72080,45088,1310
2024-11-05T15-30-22,PA,Wayne,42127,12333,6582,142,66.89,56.53,1910170,2021686,36988,PA,Wayne,42127,18637,9191,261
2024-11-05T15-30-22,PA,Westmoreland,42129,84667,41793,935,60.91,56.53,1910170,2021686,36988,PA,Westmoreland,42129,130218,72129,2350
2024-11-05T15-30-22,PA,Wyoming,42131,10183,4656,149,98.0,56.53,1910170,2021686,36988,PA,Wyoming,42131,9936,4704,218
2024-11-05T15-30-22,PA,York,42133,38366,38293,707,31.69,56.53,1910170,2021686,36988,PA,York,42133,146733,88114,3624
