timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp,harris_votes_statewide,trump_votes_statewide,other_votes_statewide,final_state,final_county,final_fips,final_trump_votes,final_harris_votes,final_other_votes,harris_percent_snapshot,trump_percent_snapshot,margin_snapshot,harris_percent_final,trump_percent_final,margin_final,margin_difference,margin_difference_abs
2024-11-05T15-30-22,PA,Cambria,42021,7270,7463,109,20.29,56.53,1910170,2021686,36988,PA,Cambria,42021,48085,21730,759,50.282980730359796,48.98261689799218,1.3003638323676157,30.79037605917193,68.1341570550061,-37.343780995834166,38.64414482820178,38.64414482820178
2024-11-05T15-30-22,PA,Cameron,42023,0,0,0,0.0,56.53,1910170,2021686,36988,PA,Cameron,42023,1771,634,29,0.0,0.0,0.0,26.047658175842237,72.7608874281019,-46.71322925225966,46.71322925225966,46.71322925225966
2024-11-05T15-30-22,PA,Carbon,42025,20323,7270,231,85.03,56.53,1910170,2021686,36988,PA,Carbon,42025,21984,11212,433,26.128522139160438,73.04125934445084,-46.9127372052904,33.34027178922953,65.37214903803265,-32.03187724880311,-14.880859956487285,14.880859956487285
2024-11-05T15-30-22,PA,Centre,42027,28082,26202,581,68.34,56.53,1910170,2021686,36988,PA,Centre,42027,36372,40055,1066,47.75722227285154,51.1838148181901,-3.4265925453385577,51.688539610029295,46.93585227052766,4.752687339501634,-8.179279884840192,8.179279884840192
2024-11-05T15-30-22,PA,Chester,42029,15405,19722,429,11.21,56.53,1910170,2021686,36988,PA,Chester,42029,128565,182372,3565,55.467431657104285,43.32602092473844,12.141410732365848,57.987548568848524,40.87891332964496,17.108635239203565,-4.9672245068377165,4.9672245068377165
2024-11-05T15-30-22,PA,Clarion,42031,14708,4502,133,96.45,56.53,1910170,2021686,36988,PA,Clarion,42031,14578,4678,237,23.27456961174585,76.03784314739183,-52.76327353564598,23.998358385061305,74.78582055096702,-50.78746216590571,-1.9758113697402706,1.9758113697402706
2024-11-05T15-30-22,PA,Clearfield,42033,898,252,5,2.89,56.53,1910170,2021686,36988,PA,Clearfield,42033,29203,9673,546,21.818181818181817,77.74891774891775,-55.930735930735935,24.537060524580184,74.07792603115013,-49.54086550656994,-6.389870424165991,6.389870424165991
2024-11-05T15-30-22,PA,Clinton,42035,12908,5366,162,98.0,56.53,1910170,2021686,36988,PA,Clinton,42035,11902,5502,221,29.106096767194618,70.01518767628554,-40.90909090909092,31.217021276595748,67.52907801418439,-36.31205673758865,-4.597034171502273,4.597034171502273
2024-11-05T15-30-22,PA,Columbia,42037,13764,5744,188,62.35,56.53,1910170,2021686,36988,PA,Columbia,42037,20098,10532,541,29.16328188464663,69.88220958570268,-40.71892770105605,33.78781559783132,64.47659683680344,-30.68878123897212,-10.030146462083934,10.030146462083934
2024-11-05T15-30-22,PA,Crawford,42039,29450,12644,326,96.01,56.53,1910170,2021686,36988,PA,Crawford,42039,28559,12924,521,29.806694955209807,69.42479962281942,-39.618104667609614,30.76849823826302,67.99114370059995,-37.22264546233693,-2.3954592052726866,2.3954592052726866
2024-11-05T15-30-22,PA,Cumberland,42041,68306,56798,1570,89.03,56.53,1910170,2021686,36988,PA,Cumberland,42041,77212,62245,2138,44.83793043560636,53.92266763503165,-9.084737199425291,43.95988558918041,54.53017408806809,-10.570288498887678,1.4855512994623865,1.4855512994623865
2024-11-05T15-30-22,PA,Dauphin,42043,26232,40164,733,44.19,56.53,1910170,2021686,36988,PA,Dauphin,42043,66408,78983,1977,59.83107151901562,39.077000998078326,20.754070520937297,53.59576027360078,45.06270017914337,8.533060094457412,12.221010426479886,12.221010426479886
2024-11-05T15-30-22,PA,Delaware,42045,25366,56911,744,24.56,56.53,1910170,2021686,36988,PA,Delaware,42045,118532,206423,2976,68.55012587176739,30.553715325038244,37.99641054672915,62.94708338034526,36.145408637792706,26.801674742552557,11.194735804176595,11.194735804176595
2024-11-05T15-30-22,PA,Elk,42047,12506,4464,127,95.0,56.53,1910170,2021686,36988,PA,Elk,42047,12140,4522,244,26.109843832251272,73.14733578990467,-47.0374919576534,26.747900153791555,71.80882526913523,-45.06092511534367,-1.9765668423097296,1.9765668423097296
2024-11-05T15-30-22,PA,Erie,42049,15345,27624,375,31.92,56.53,1910170,2021686,36988,PA,Erie,42049,66869,68286,1928,63.732004429678845,35.40282392026578,28.329180509413064,49.8136165680646,48.77993624300606,1.0336803250585405,27.295500184354523,27.295500184354523
2024-11-05T15-30-22,PA,Fayette,42051,31486,15888,220,78.77,56.53,1910170,2021686,36988,PA,Fayette,42051,41227,20444,468,33.38235912089759,66.15539773921083,-32.77303861831324,32.900432900432904,66.34641690403772,-33.44598400360482,0.6729453852915839,0.6729453852915839
2024-11-05T15-30-22,PA,Forest,42053,1897,719,24,98.0,56.53,1910170,2021686,36988,PA,Forest,42053,1882,728,36,27.234848484848484,71.8560606060606,-44.62121212121211,27.513227513227513,71.12622826908542,-43.613000755857904,-1.0082113653542066,1.0082113653542066
2024-11-05T15-30-22,PA,Franklin,42055,43058,12471,478,69.14,56.53,1910170,2021686,36988,PA,Franklin,42055,57245,22422,1116,22.266859499705394,76.87967575481636,-54.61281625511097,27.755839718752707,70.86268150477204,-43.10684178601933,-11.50597446909164,11.50597446909164
2024-11-05T15-30-22,PA,Fulton,42057,6908,1051,34,98.0,56.53,1910170,2021686,36988,PA,Fulton,42057,6824,1085,68,13.149005379707242,86.42562241961717,-73.27661703990992,13.601604613263133,85.54594459069826,-71.94433997743512,-1.3322770624748017,1.3322770624748017
2024-11-05T15-30-22,PA,Greene,42059,12258,4554,324,98.0,56.53,1910170,2021686,36988,PA,Greene,42059,12579,4911,179,26.57563025210084,71.53361344537815,-44.957983193277315,27.794442243477274,71.19248401154564,-43.39804176806837,-1.5599414252089474,1.5599414252089474
2024-11-05T15-30-22,PA,Huntingdon,42061,13732,4603,144,84.92,56.53,1910170,2021686,36988,PA,Huntingdon,42061,17061,5445,286,24.909356566913793,74.31138048595703,-49.40202391904324,23.88996138996139,74.85521235521236,-50.96525096525097,1.5632270462077358,1.5632270462077358
2024-11-05T15-30-22,PA,Indiana,42063,29111,12610,314,98.0,56.53,1910170,2021686,36988,PA,Indiana,42063,28089,12634,475,29.998810515046987,69.25419293445938,-39.2553824194124,30.666537210544202,68.18049419874751,-37.513956988203304,-1.7414254312090947,1.7414254312090947
2024-11-05T15-30-22,PA,Jefferson,42065,18196,4696,186,98.0,56.53,1910170,2021686,36988,PA,Jefferson,42065,17960,4527,337,20.348383742092036,78.84565386948609,-58.497270127394046,19.834384858044164,78.68909919383105,-58.854714335786895,0.35744420839284885,0.35744420839284885
2024-11-05T15-30-22,PA,Juniata,42067,8308,1489,75,98.0,56.53,1910170,2021686,36988,PA,Juniata,42067,9649,2253,141,15.083063209076176,84.15721231766614,-69.07414910858996,18.70796313210994,80.12123225110022,-61.413269118990286,-7.660879989599678,7.660879989599678
2024-11-05T15-30-22,PA,Lackawanna,42069,55123,58664,802,98.0,56.53,1910170,2021686,36988,PA,Lackawanna,42069,52334,61991,1085,51.19514089485029,48.104966445295794,3.090174449554496,53.713716315743866,45.34615717875401,8.367559136989854,-5.277384687435358,5.277384687435358
2024-11-05T15-30-22,PA,Lancaster,42071,107481,90227,2017,70.11,56.53,1910170,2021686,36988,PA,Lancaster,42071,160209,115847,4183,45.17561647264989,53.81449493052948,-8.638878457879585,41.33864308679377,57.16870242899811,-15.830059342204336,7.191180884324751,7.191180884324751
2024-11-05T15-30-22,PA,Lawrence,42073,31164,15281,322,98.0,56.53,1910170,2021686,36988,PA,Lawrence,42073,29597,15978,501,32.67474928902859,66.63673102828918,-33.96198173926059,34.677489365396305,64.23517666464103,-29.557687299244726,-4.40429444001586,4.40429444001586
2024-11-05T15-30-22,PA,Lebanon,42075,25403,16448,375,60.71,56.53,1910170,2021686,36988,PA,Lebanon,42075,46731,23932,989,38.95230426751291,60.159617297399706,-21.207313029886798,33.400323787193656,65.21939373639256,-31.819069949198905,10.611756919312107,10.611756919312107
2024-11-05T15-30-22,PA,Lehigh,42077,34630,40721,854,40.54,56.53,1910170,2021686,36988,PA,Lehigh,42077,84259,98288,2166,53.4361262384358,45.4432123876386,7.992913850797194,53.211197912437136,45.61617211566051,7.595025796776625,0.39788805402056937,0.39788805402056937
2024-11-05T15-30-22,PA,Luzerne,42079,56472,43174,760,65.86,56.53,1910170,2021686,36988,PA,Luzerne,42079,86929,64873,1519,42.99942234527817,56.24365077784196,-13.244228432563787,42.31188160786846,56.69738652891646,-14.385504921048003,1.1412764884842161,1.1412764884842161
2024-11-05T15-30-22,PA,Lycoming,42081,41677,17012,497,98.0,56.53,1910170,2021686,36988,PA,Lycoming,42081,41462,16971,821,28.743283884702464,70.4169905045112,-41.67370661980874,28.641104398015322,69.9733351334931,-41.33223073547777,-0.3414758843309684,0.3414758843309684
2024-11-05T15-30-22,PA,McKean,42083,6813,2558,69,46.85,56.53,1910170,2021686,36988,PA,McKean,42083,14083,5098,285,27.097457627118644,72.17161016949153,-45.074152542372886,26.189253056611527,72.34665570738724,-46.157402650775715,1.0832501084028294,1.0832501084028294
2024-11-05T15-30-22,PA,Mercer,42085,14866,8149,183,37.77,56.53,1910170,2021686,36988,PA,Mercer,42085,36143,21067,744,35.12802827829986,64.08311061298387,-28.955082334684015,36.351244090140455,62.36497912137212,-26.01373503123167,-2.9413473034523463,2.9413473034523463
2024-11-05T15-30-22,PA,Mifflin,42087,14255,2716,109,95.0,56.53,1910170,2021686,36988,PA,Mifflin,42087,16670,4603,229,15.901639344262295,83.46018735362998,-67.55854800936768,21.407310947818807,77.52767184447958,-56.12036089666078,-11.438187112706906,11.438187112706906
2024-11-05T15-30-22,PA,Monroe,42089,26699,30617,605,71.22,56.53,1910170,2021686,36988,PA,Monroe,42089,38726,44060,1043,52.859929904525124,46.09554393052606,6.764385973999062,52.55937682663517,46.19642367199895,6.362953154636223,0.4014328193628387,0.4014328193628387
2024-11-05T15-30-22,PA,Montgomery,42091,60791,133310,1867,37.77,56.53,1910170,2021686,36988,PA,Montgomery,42091,185460,319511,5186,68.0264124755062,31.02088096015676,37.005531515349446,62.62993549044707,36.35351470233673,26.276420788110336,10.72911072723911,10.72911072723911
2024-11-05T15-30-22,PA,Montour,42093,4790,2351,80,90.0,56.53,1910170,2021686,36988,PA,Montour,42093,5844,3771,156,32.55781747680377,66.334302728154,-33.77648525135023,38.593797973595336,59.809640773718144,-21.215842800122807,-12.560642451227423,12.560642451227423
2024-11-05T15-30-22,PA,Northampton,42095,63216,58743,1211,75.76,56.53,1910170,2021686,36988,PA,Northampton,42095,83854,85087,2001,47.692619956158154,51.32418608427377,-3.6315661281156153,49.77536240362228,49.0540651215032,0.7212972821190817,-4.352863410234697,4.352863410234697
2024-11-05T15-30-22,PA,Northumberland,42097,29984,12716,870,97.81,56.53,1910170,2021686,36988,PA,Northumberland,42097,28952,12677,654,29.185219187514345,68.81799403259123,-39.63277484507688,29.981316368280396,68.47196272733723,-38.49064635905683,-1.1421284860200487,1.1421284860200487
2024-11-05T15-30-22,PA,Perry,42099,2061,432,21,10.07,56.53,1910170,2021686,36988,PA,Perry,42099,18293,5950,409,17.18377088305489,81.98090692124104,-64.79713603818615,24.135972740548432,74.20493266266429,-50.06895992211586,-14.728176116070294,14.728176116070294
2024-11-05T15-30-22,PA,Philadelphia,42101,83304,307111,4406,50.67,56.53,1910170,2021686,36988,PA,Philadelphia,42101,132740,603790,4847,77.7848695991348,21.099181654471266,56.68568794466353,81.4416956555167,17.90452091176284,63.53717474375385,-6.851486799090324,6.851486799090324
2024-11-05T15-30-22,PA,Pike,42103,9113,2757,44,37.26,56.53,1910170,2021686,36988,PA,Pike,42103,19213,13019,322,23.1408427060601,76.48984388114823,-53.349001175088134,39.992013270258646,59.01886096946611,-19.026847699207465,-34.32215347588067,34.32215347588067
2024-11-05T15-30-22,PA,Potter,42105,7303,1664,75,98.0,56.53,1910170,2021686,36988,PA,Potter,42105,7239,1726,99,18.40300818403008,80.76752930767529,-62.364521123645204,19.042365401588704,79.86540158870255,-60.82303618711385,-1.5414849365313543,1.5414849365313543
2024-11-05T15-30-22,PA,Schuylkill,42107,25825,8479,297,46.99,56.53,1910170,2021686,36988,PA,Schuylkill,42107,48871,20727,1005,24.50507210774255,74.63657119736425,-50.1314990896217,29.357109471268927,69.21943826749572,-39.86232879622679,-10.269170293394907,10.269170293394907
2024-11-05T15-30-22,PA,Snyder,42109,12149,4057,110,80.02,56.53,1910170,2021686,36988,PA,Snyder,42109,13983,4910,247,24.86516303015445,74.4606521206178,-49.595489090463346,25.653082549634277,73.05642633228841,-47.40334378265413,-2.192145307809213,2.192145307809213
2024-11-05T15-30-22,PA,Somerset,42111,26216,5316,231,76.33,56.53,1910170,2021686,36988,PA,Somerset,42111,31466,8654,423,16.73645436514183,82.53628435601172,-65.79982999086988,21.345238388871074,77.61142490688898,-56.26618651801791,-9.53364347285197,9.53364347285197
2024-11-05T15-30-22,PA,Sullivan,42113,2697,956,24,98.0,56.53,1910170,2021686,36988,PA,Sullivan,42113,2619,921,55,25.999456078324723,73.34783791134076,-47.348381833016035,25.618915159944365,72.85118219749653,-47.23226703755216,-0.11611479546387216,0.11611479546387216
2024-11-05T15-30-22,PA,Susquehanna,42115,13832,5336,177,86.37,56.53,1910170,2021686,36988,PA,Susquehanna,42115,15207,6236,309,27.583354872059964,71.50168002067718,-43.91832514861722,28.6686281721221,69.9108127988231,-41.242184626701004,-2.676140521916217,2.676140521916217
2024-11-05T15-30-22,PA,Tioga,42117,15215,4862,204,94.9,56.53,1910170,2021686,36988,PA,Tioga,42117,15742,4955,378,23.973176865046103,75.02095557418274,-51.04777870913664,23.511269276393833,74.69513641755636,-51.18386714116252,0.13608843202588616,0.13608843202588616
2024-11-05T15-30-22,PA,Union,42119,7573,4321,103,57.4,56.53,1910170,2021686,36988,PA,Union,42119,12356,7475,284,36.01733766775027,63.12411436192381,-27.10677669417354,37.16132239622173,61.42679592344022,-24.26547352721849,-2.8413031669550506,2.8413031669550506
2024-11-05T15-30-22,PA,Venango,42121,15908,4719,172,77.24,56.53,1910170,2021686,36988,PA,Venango,42121,18569,7585,374,22.688590797634504,76.48444636761383,-53.795855569979324,28.59243063932449,69.99773823884198,-41.405307599517485,-12.390547970461839,12.390547970461839
2024-11-05T15-30-22,PA,Warren,42123,5793,3551,76,46.01,56.53,1910170,2021686,36988,PA,Warren,42123,14237,6066,347,37.6963906581741,61.496815286624205,-23.800424628450102,29.37530266343826,68.94430992736076,-39.5690072639225,15.768582635472399,15.768582635472399
2024-11-05T15-30-22,PA,Washington,42125,52716,34843,563,76.38,56.53,1910170,2021686,36988,PA,Washington,42125,72080,45088,1310,39.53950205397063,59.82161094845782,-20.282108894487187,38.05601039855501,60.83829909350259,-22.78228869494758,2.500179800460394,2.500179800460394
2024-11-05T15-30-22,PA,Wayne,42127,12333,6582,142,66.89,56.53,1910170,2021686,36988,PA,Wayne,42127,18637,9191,261,34.53848979377657,64.71637718423676,-30.177887390460192,32.720993983409876,66.34981665420628,-33.6288226707964,3.4509352803362106,3.4509352803362106
2024-11-05T15-30-22,PA,Westmoreland,42129,84667,41793,935,60.91,56.53,1910170,2021686,36988,PA,Westmoreland,42129,130218,72129,2350,32.80584010361474,66.46022214372621,-33.65438204011147,35.2369599945285,63.61500168541796,-28.37804169088946,-5.276340349222011,5.276340349222011
2024-11-05T15-30-22,PA,Wyoming,42131,10183,4656,149,98.0,56.53,1910170,2021686,36988,PA,Wyoming,42131,9936,4704,218,31.064851881505206,67.94101948225247,-36.876167600747266,31.65971193969579,66.87306501547987,-35.21335307578408,-1.6628145249631885,1.6628145249631885
2024-11-05T15-30-22,PA,York,42133,38366,38293,707,31.69,56.53,1910170,2021686,36988,PA,York,42133,146733,88114,3624,49.49590259287026,49.590259287025305,-0.09435669415504577,36.949566194631636,61.53075216693015,-24.581185972298513,24.486829278143468,24.486829278143468
